Nutrient,Metric,Baseline,Improved,Improvement_Percent
Calories,MAE,138.2764559257174,56.750464517621374,-58.958693193505106
Calories,RMSE,167.85360204288708,86.02449837862017,-48.75028159560099
Calories,R2,0.35645465816638044,0.8309706513041676,133.12099653255194
Mass,MAE,149.0633790211848,39.500011775806975,-73.50119658149353
Mass,RMSE,167.9351335098713,55.830143806001665,-66.75493529010714
Mass,R2,-0.2997391635235518,0.85634836595932,385.6978567273652
Fat,MAE,7.178320633416217,4.147489587926126,-42.22200707197577
Fat,RMSE,8.953701042114476,6.419525834532603,-28.303102769035615
Fat,R2,0.5370410554620069,0.7620184974757895,41.892037810822224
Carb,MAE,9.792938512286993,5.783804875934824,-40.939025924874265
Carb,RMSE,12.704868463472362,8.859652046854615,-30.265692460123372
Carb,R2,0.3783828178449473,0.6977154185713094,84.39405429271297
Protein,MAE,9.548274598233133,5.245327134415694,-45.06518344805124
Protein,RMSE,12.577688281610968,8.984657050662136,-28.56670598365816
Protein,R2,0.5722907380015017,0.7817521321862205,36.600521426605596
